d_moded_NR_BFGS, N_moded_NR_BFGS
0.045375, 0.25
0.0923017, 0.5
0.140927, 0.75
0.19142, 1
0.243981, 1.25
0.298848, 1.5
0.356306, 1.75
0.416703, 2
0.480469, 2.25
0.548151, 2.5
0.620455, 2.75
0.698322, 3
0.78306, 3.25
0.876564, 3.5
0.981784, 3.75
1.10377, 3.99999
1.25263, 4.25
1.45581, 4.5
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
