d_NR, N_NR
0.0453748, 0.249999
0.0923015, 0.499999
0.140926, 0.749999
0.191419, 0.999998
0.243981, 1.25
0.298847, 1.5
0.356305, 1.75
0.416702, 2
0.480468, 2.24999
0.548149, 2.49999
0.620452, 2.74999
0.698318, 2.99999
0.783052, 3.24998
0.876565, 3.5
0.981786, 3.75
1.10377, 4
1.25263, 4.25
1.45581, 4.5
1.81673, 4.71194
1.74815, 4.69264
5.78901, 2.25413
6.83277, 5.5
6.88301, 5.75
6.93141, 6
6.97813, 6.25
7.02331, 6.5
7.06709, 6.75
7.10956, 7
7.15083, 7.25
7.19098, 7.5
7.23008, 7.75
7.26821, 8
7.30542, 8.25
7.34177, 8.5
7.37731, 8.75
7.41208, 9
7.44612, 9.25
7.47948, 9.5
7.51219, 9.75
7.54428, 10
