d_moded_NR, N_moded_NR
0.0453743, 0.249996
0.0923008, 0.499995
0.140925, 0.749994
0.191418, 0.999993
0.243979, 1.24999
0.298846, 1.49999
0.356303, 1.74999
0.416699, 1.99998
0.480464, 2.24998
0.548151, 2.5
0.620454, 2.75
0.698321, 3
0.783058, 3.24999
0.87656, 3.49999
0.981785, 3.75
1.10377, 3.99999
1.25262, 4.24999
1.4558, 4.49999
2.24726, 4.64062
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
-nan, -nan
